ALL-MODULE UNIT RUN - started
OK    BackgroundService.UnitTests  Passed! - Failed: 0, Passed: 611, Skipped: 0, Total: 611, Duration: 741 ms - BackgroundService.UnitTests.dll (net8.0)
OK    BudgetManagement.UnitTests  Passed! - Failed: 0, Passed: 328, Skipped: 0, Total: 328, Duration: 1 s - BudgetManagement.UnitTests.dll (net8.0)
OK    FinanceManagement.UnitTests  Passed! - Failed: 0, Passed: 697, Skipped: 0, Total: 697, Duration: 1 s - FinanceManagement.UnitTests.dll (net8.0)
OK    FixedAssetManagement.UnitTests  Passed! - Failed: 0, Passed: 1404, Skipped: 1, Total: 1405, Duration: 1 s - FixedAssetManagement.UnitTests.dll (net8.0)
OK    GateEntryManagement.UnitTests  Passed! - Failed: 0, Passed: 315, Skipped: 0, Total: 315, Duration: 441 ms - GateEntryManagement.UnitTests.dll (net8.0)
OK    InventoryManagement.UnitTests  Passed! - Failed: 0, Passed: 1061, Skipped: 0, Total: 1061, Duration: 728 ms - InventoryManagement.UnitTests.dll (net8.0)
OK    LogisticsManagement.UnitTests  Passed! - Failed: 0, Passed: 231, Skipped: 0, Total: 231, Duration: 497 ms - LogisticsManagement.UnitTests.dll (net8.0)
OK    MaintenanceManagement.UnitTests  Passed! - Failed: 0, Passed: 1322, Skipped: 0, Total: 1322, Duration: 1 s - MaintenanceManagement.UnitTests.dll (net8.0)
OK    PartyManagement.UnitTests  Passed! - Failed: 0, Passed: 385, Skipped: 0, Total: 385, Duration: 694 ms - PartyManagement.UnitTests.dll (net8.0)
OK    ProductionManagement.UnitTests  Passed! - Failed: 0, Passed: 681, Skipped: 0, Total: 681, Duration: 1 s - ProductionManagement.UnitTests.dll (net8.0)
OK    ProjectManagement.UnitTests  Passed! - Failed: 0, Passed: 309, Skipped: 0, Total: 309, Duration: 684 ms - ProjectManagement.UnitTests.dll (net8.0)
OK    PurchaseManagement.UnitTests  Passed! - Failed: 0, Passed: 2145, Skipped: 0, Total: 2145, Duration: 3 s - PurchaseManagement.UnitTests.dll (net8.0)
OK    QCManagement.UnitTests  Passed! - Failed: 0, Passed: 437, Skipped: 0, Total: 437, Duration: 1 s - QCManagement.UnitTests.dll (net8.0)
OK    SalesManagement.UnitTests  Passed! - Failed: 0, Passed: 3013, Skipped: 0, Total: 3013, Duration: 3 s - SalesManagement.UnitTests.dll (net8.0)
OK    Shared.Infrastructure.UnitTests  Passed! - Failed: 0, Passed: 82, Skipped: 0, Total: 82, Duration: 2 s - Shared.Infrastructure.UnitTests.dll (net8.0)
OK    UserManagement.UnitTests  Passed! - Failed: 0, Passed: 2202, Skipped: 1, Total: 2203, Duration: 10 s - UserManagement.UnitTests.dll (net8.0)
OK    WarehouseManagement.UnitTests  Passed! - Failed: 0, Passed: 170, Skipped: 0, Total: 170, Duration: 301 ms - WarehouseManagement.UnitTests.dll (net8.0)
ALL-MODULE UNIT RUN - finished
